BTC_PRICE,COUNT,MEAN,MEDIAN,SUM
10219.03,1680,0.17,0.14,287.79
10181,1635,0.17,0.15,285.62
10215.92,1658,0.2,0.2,331.28
10247.34,1417,0.2,0.2,290.43
10225,1377,0.18,0.18,241.29
10235.04,1415,0.2,0.2,281.56
10265.45,1347,0.19,0.2,253.4
10219.66,1401,0.15,0.16,206.03
10227.74,1178,0.25,0.25,292.57
10153.19,2421,0.15,0.02,358.16
10186.56,1725,0.25,0.24,429.94
10107.92,1644,0.25,0.25,411.32
10144.6,1823,0.24,0.24,443.06
10200,1868,0.22,0.21,410.58
10250.01,1958,0.25,0.24,487.45
10256.25,1931,0.23,0.22,450.47
10260.86,2511,0.29,0.3,728.81
10247.22,2654,0.26,0.23,682.03
10231.3,2762,0.27,0.23,736.86
10259,2472,0.26,0.23,635
10291.4,2554,0.26,0.25,657.48
10293.09,2361,0.23,0.23,546.39
10362,2208,0.21,0.2,471.38
10363.85,2030,0.22,0.23,449.49
10370.32,1860,0.21,0.2,389.55
10347.35,2067,0.21,0.24,431.75
10373.39,1727,0.22,0.24,383.52
10371.33,1792,0.18,0.21,328.51
10353.1,1442,0.21,0.24,302.49
10263.19,1498,0.23,0.24,338.96
10245.21,1335,0.23,0.25,303.18
10281.89,1598,0.25,0.26,396.39
10282.17,1526,0.24,0.27,363.33
10232.4,1209,0.24,0.25,288.48
10250.01,1355,0.25,0.25,333.51
10235.83,1429,0.23,0.25,331.48
10257.47,1680,0.26,0.25,434.63
10268.15,1701,0.25,0.25,425.58
10245.12,1608,0.23,0.23,371.21
10233.26,1572,0.24,0.24,375.88
10241.69,1723,0.26,0.25,439.58
10225.25,2317,0.3,0.26,695.84
10238.74,2160,0.21,0.2,463.09
9976.77,2207,0.19,0.2,422.6
9891.92,2586,0.16,0.17,416.7
9842.99,2016,0.18,0.19,362.12
9910.22,2421,0.14,0.14,343.76
9890.58,1988,0.19,0.2,370.95
9892.01,1674,0.23,0.23,378.61
9924.41,1637,0.19,0.18,313.95
9931.01,1481,0.19,0.2,274.86
9911.22,1457,0.2,0.22,292.54
9931.05,1269,0.2,0.2,250.66
9931.26,1217,0.21,0.2,257.05
10039.41,1211,0.21,0.22,257.43
10007.83,1333,0.22,0.23,298.8
10025,1290,0.23,0.23,293.59
9955.13,1237,0.21,0.23,256.08
9975.58,1252,0.21,0.23,258.45
9968.7,1381,0.19,0.2,258.04
9993.9,1838,0.21,0.23,384.14
9974.54,1735,0.24,0.23,421.43
9943.86,1771,0.22,0.23,385.18
9924,1786,0.23,0.24,407.21
9923.8,1871,0.26,0.25,481.97
9945.97,2377,0.23,0.24,550.5
9904.09,2012,0.21,0.19,430.23
9872.6,2194,0.21,0.2,450.49
9725,2395,0.19,0.2,455.7
9760.47,2242,0.2,0.2,452.47
9809.1,2038,0.21,0.24,427.58
9766.7,1770,0.19,0.21,334.64
9779.99,1582,0.2,0.2,323.16
9768.01,1742,0.22,0.22,387.6
9874.28,1500,0.21,0.24,309.33
9927.27,1435,0.22,0.23,311.08
9869.62,1281,0.2,0.2,257.76
9866.42,1208,0.18,0.19,223.41
9848.01,1407,0.2,0.21,282.39
9826.45,1347,0.19,0.2,252.73
9745,1226,0.22,0.24,275.32
9775.54,1552,0.24,0.24,379.48
9783.78,1279,0.22,0.22,276.98
9760.35,1914,0.25,0.26,478.87
9813.33,1826,0.21,0.23,389.06
9804.51,1635,0.23,0.24,376.57
9736.58,1547,0.19,0.2,298.74
9628.37,1712,0.19,0.18,318.8
9650.74,2004,0.25,0.25,504.79
9541.73,2264,0.21,0.2,470.27
9603.63,2488,0.22,0.22,558.27
9653.1,2710,0.22,0.21,608.32
9695.03,2490,0.23,0.22,564.12
9657.42,2160,0.2,0.21,433.15
9665,2262,0.23,0.24,509.75
9687.97,2201,0.21,0.23,470.88
9631.29,1969,0.21,0.2,406.32
9646.01,2056,0.2,0.23,421.07
9632.01,1869,0.22,0.24,405.96
9699.2,1736,0.25,0.26,430.44
9665.58,1587,0.22,0.23,351.61
9729.81,1748,0.26,0.25,458.21
9714.43,1598,0.27,0.28,435.86
9733.52,1370,0.24,0.24,334.07
9808.77,1413,0.24,0.25,345.81
9800.88,1659,0.23,0.24,384.36
9788.02,1757,0.23,0.24,404.5
9807.5,1871,0.29,0.26,533.57
9760.01,2144,0.27,0.27,577.44
9701.17,2145,0.26,0.25,554.23
9745.17,2063,0.26,0.24,528.66
9731.92,2252,0.22,0.23,503.64
9674.55,2166,0.24,0.23,518.2
9650.01,2567,0.22,0.24,563.13
9716.46,2398,0.21,0.23,514.81
9859.22,2707,0.24,0.25,643.45
9940.7,3017,0.24,0.25,718.5
9973.9,2559,0.21,0.23,542.97
9993.45,2415,0.22,0.25,532.82
10069.18,2402,0.21,0.22,497.32
10179.99,2294,0.19,0.22,441.08
10160,2111,0.17,0.18,348.98
10185.3,2126,0.2,0.23,431.15
10185.1,1721,0.2,0.23,348.67
10130.01,1568,0.21,0.23,332.76
10140.39,1480,0.22,0.24,321.6
10175,1683,0.22,0.25,367.18
10170.11,1477,0.21,0.23,304
10131.32,1613,0.2,0.23,322.61
10136.48,1441,0.23,0.25,336.4
10089.99,1591,0.23,0.26,370.36
10073.95,1605,0.24,0.25,388.51
10178.32,1965,0.24,0.26,470.48
10136,2089,0.2,0.2,412.24
10149.76,2790,0.19,0.08,523.03
10221.77,3451,0.18,0.08,605.56
10122.52,3296,0.19,0.08,622.52
10134.66,3234,0.2,0.12,635.89
10137.24,3095,0.19,0.15,594.54
10138.5,3371,0.23,0.2,778.47
10191.72,3719,0.26,0.23,950.14
10179.45,3307,0.23,0.22,757
10212.03,2844,0.23,0.2,641.71
10165.86,2589,0.19,0.15,491.14
10166.94,2603,0.19,0.18,507.52
9617.29,3192,0.14,0.13,453.43
9700,3126,0.2,0.15,616.98
9600.19,2646,0.21,0.16,558.16
9626.68,2390,0.2,0.14,482.06
9603,1991,0.16,0.08,326.53
9572.66,1994,0.19,0.12,373.49
9566.42,2011,0.17,0.08,334.1
9574.45,1753,0.19,0.15,331.76
9564.27,1914,0.19,0.11,370.28
9615,2593,0.29,0.25,751.21
9593.47,2115,0.21,0.17,453.52
9582.25,2234,0.18,0.16,411.57
9603.01,2126,0.21,0.16,440.03
9603.66,2536,0.26,0.21,647.41
9571.18,2994,0.24,0.18,717.57
9565.13,2902,0.22,0.18,632.15
9597.04,2579,0.18,0.14,477.1
9604.32,2678,0.2,0.17,527.02
9578.61,2623,0.18,0.18,478.97
9646.96,2825,0.2,0.18,560.45
9508.51,2419,0.18,0.18,441.42
9539.84,2305,0.18,0.17,423.28
9555,2157,0.21,0.18,442.88
9587.74,1989,0.18,0.15,356.77
9609.45,1951,0.17,0.16,335.08
9630,2284,0.2,0.18,447.5
9610.05,1706,0.18,0.16,310.81
9605.98,1667,0.2,0.18,340
9655.3,1683,0.21,0.18,350.9
9658.62,1550,0.22,0.19,336.95
9715.08,1442,0.2,0.18,295.33
9705.21,1367,0.21,0.18,282.23
9688.46,1451,0.21,0.18,299.15
9682.86,1606,0.2,0.19,327.79
9690.07,1897,0.25,0.25,466.12
9651.69,1903,0.22,0.22,422.81
9676.65,1770,0.24,0.23,422.07
9703.22,2071,0.24,0.2,488.93
9708.43,1938,0.21,0.18,406.62
9761.69,2057,0.23,0.22,472.05
9745.51,2398,0.23,0.22,557.55
9689.12,2557,0.2,0.18,507.01
9735.68,4131,0.07,-0.08,308.38
9739.94,2491,0.2,0.22,504.72
9716.79,2365,0.21,0.2,507.92
9715.26,1786,0.21,0.21,368.81
9695.82,2249,0.18,0.19,396.45
9713.86,1947,0.17,0.18,326.99
9674.14,1714,0.19,0.2,328.49
9676.98,1550,0.17,0.18,266.34
9698.69,1691,0.18,0.19,306.94
9704.23,1557,0.2,0.22,312.29
9669.41,1744,0.21,0.23,372.82
9660.74,1530,0.23,0.24,352.7
9676.21,1234,0.22,0.23,266.2
9633.23,1362,0.22,0.21,293.32
9629.24,1214,0.22,0.2,266.75
9615.45,1464,0.22,0.19,319.74
9609.69,1709,0.24,0.26,409.01
9648.41,2376,0.21,0.2,490.21
9629.11,2030,0.23,0.24,457.28
9641.66,1895,0.24,0.25,458.7
9655.33,2283,0.22,0.23,509.99
9662.34,1900,0.25,0.25,481.24
9668.04,1935,0.24,0.23,466.01
9662.24,2137,0.2,0.2,423.49
9643.94,2842,0.23,0.23,640.63
9661.01,2222,0.21,0.21,461.51
9668.77,2160,0.19,0.19,403.72
9680.01,1825,0.23,0.24,412.83
9690.34,1999,0.29,0.25,576.56
9700.01,1681,0.21,0.22,358.42
9695.84,1716,0.25,0.25,423.31
9683.41,1675,0.25,0.25,415.97
9668.62,1646,0.2,0.19,334.92
9694.22,1413,0.24,0.22,341.37
9680.6,1459,0.26,0.26,379.45
9700.47,1450,0.24,0.23,350.43
9808.12,1318,0.27,0.26,355.51
9870.78,1534,0.26,0.26,398.82
9900,1539,0.25,0.25,378.55
9920.22,1571,0.28,0.27,434.81
9911.62,1532,0.28,0.27,425.24
9908.76,2079,0.29,0.29,611.58
9914.73,2156,0.25,0.24,538.89
9874.55,2094,0.29,0.26,603.49
9861.49,1928,0.28,0.26,537.22
9870.18,2014,0.26,0.29,530.68
9892.52,2194,0.19,0.23,406.36
9924.95,2434,0.23,0.23,565.74
9893.05,2194,0.24,0.24,520.3
9900.31,2043,0.23,0.23,470.09
9900.69,2118,0.23,0.24,493.73
9905.04,2333,0.25,0.25,594.8
9906.1,2026,0.22,0.21,444.34
9884.02,1883,0.21,0.22,400.39
9885.01,1662,0.19,0.18,315.03
9930.95,1627,0.22,0.24,355.56
9988.01,1718,0.21,0.25,363.94
9970.62,1510,0.2,0.2,298.07
9908.91,1621,0.2,0.2,318.15
9756.19,1723,0.21,0.2,359.51
9774.82,1857,0.3,0.3,548.8
9771.01,1643,0.19,0.18,311.27
9771.48,1634,0.26,0.24,422.78
9736.73,1599,0.22,0.23,352.88
9753.05,1828,0.21,0.22,383.77
9765.94,1841,0.23,0.24,417.28
9719.99,1789,0.24,0.24,432.48
9755.86,1891,0.23,0.24,439.99
9829.11,2441,0.19,0.18,455.12
9803,2321,0.23,0.23,544.32
9750.38,2451,0.22,0.24,538.54
9754,2825,0.22,0.23,619.64
9710.19,3174,0.2,0.23,648.52
9655,3019,0.21,0.22,638.97
9601.03,3266,0.22,0.24,718.4
9580.44,2918,0.18,0.17,533.78
9594.33,2455,0.22,0.24,541.53
9592.21,2251,0.23,0.24,516.25
9605.42,2159,0.19,0.2,399.48
9640,1947,0.25,0.25,492.69
9660,2078,0.23,0.25,486.93
9616.34,1810,0.23,0.24,419.1
9588.41,1739,0.24,0.24,418.03
9610.29,1583,0.25,0.25,393.33
9583.37,1684,0.26,0.26,431.13
9573,1512,0.25,0.25,373.98
9552.16,1817,0.22,0.23,402.95
9545,1610,0.22,0.2,361.7
9520.85,2233,0.28,0.25,633.21
9553.59,2281,0.26,0.27,603.97
9570.09,2084,0.24,0.24,508.59
9559.04,1979,0.25,0.25,504.43
9631.51,2123,0.23,0.25,489.21
9619.42,2529,0.19,0.23,489.89
9575,2331,0.2,0.2,458.18
9396.15,2751,0.21,0.24,572.69
