BTC_PRICE,COUNT,LAST,MEAN,MEDIAN,RATE,SUM,Timestamp
10219.03,1680,0.5,0.17,0.14,0.93,287.79,2/13/2020 20:47
10181,1635,-0.17,0.17,0.15,0.91,285.62,2/13/2020 21:59
10215.92,1658,0.14,0.2,0.2,0.92,331.28,2/13/2020 22:59
10247.34,1417,0.25,0.2,0.2,0.79,290.43,2/13/2020 23:59
10225,1377,0.25,0.18,0.18,0.77,241.29,2/14/2020 0:59
10235.04,1415,0.12,0.2,0.2,0.79,281.56,2/14/2020 1:59
10265.45,1347,0.75,0.19,0.2,0.75,253.4,2/14/2020 2:59
10219.66,1401,0.2,0.15,0.16,0.78,206.03,2/14/2020 3:50
10227.74,1178,-0.26,0.25,0.25,0.66,292.57,2/14/2020 4:54
10153.19,2421,0.63,0.15,0.02,1.35,358.16,2/14/2020 5:59
10186.56,1725,0.12,0.25,0.24,0.96,429.94,2/14/2020 6:55
10107.92,1644,0.63,0.25,0.25,0.91,411.32,2/14/2020 7:59
10144.6,1823,0.11,0.24,0.24,1.01,443.06,2/14/2020 8:59
10200,1868,-0.1,0.22,0.21,1.04,410.58,2/14/2020 9:59
10250.01,1958,0.33,0.25,0.24,1.09,487.45,2/14/2020 10:59
10256.25,1931,-0.55,0.23,0.22,1.12,450.47,2/14/2020 11:59
10260.86,2511,0.74,0.29,0.3,1.4,728.81,2/14/2020 12:59
10247.22,2654,0.3,0.26,0.23,1.47,682.03,2/14/2020 13:59
10231.3,2762,0.81,0.27,0.23,1.53,736.86,2/14/2020 14:59
10259,2472,-0.1,0.26,0.23,1.38,635,2/14/2020 15:59
10291.4,2554,-0.07,0.26,0.25,1.42,657.48,2/14/2020 16:59
10293.09,2361,0.23,0.23,0.23,1.31,546.39,2/14/2020 17:59
10362,2208,-0.2,0.21,0.2,1.23,471.38,2/14/2020 18:59
10363.85,2030,0.1,0.22,0.23,1.13,449.49,2/14/2020 19:59
10370.32,1860,0.66,0.21,0.2,1.03,389.55,2/14/2020 20:59
10347.35,2067,0.23,0.21,0.24,1.15,431.75,2/14/2020 21:59
10373.39,1727,-0.76,0.22,0.24,1.02,383.52,2/14/2020 22:59
10371.33,1792,0.54,0.18,0.21,1,328.51,2/14/2020 23:59
10353.1,1442,-0.04,0.21,0.24,0.8,302.49,2/15/2020 0:59
10263.19,1498,0.21,0.23,0.24,0.83,338.96,2/15/2020 1:59
10245.21,1335,0.41,0.23,0.25,0.74,303.18,2/15/2020 2:59
10281.89,1598,0.44,0.25,0.26,0.89,396.39,2/15/2020 3:59
10282.17,1526,0.09,0.24,0.27,0.85,363.33,2/15/2020 4:59
10232.4,1209,0.61,0.24,0.25,0.67,288.48,2/15/2020 5:59
10250.01,1355,0.85,0.25,0.25,0.75,333.51,2/15/2020 7:00
10235.83,1429,0.23,0.23,0.25,0.8,331.48,2/15/2020 7:59
10257.47,1680,0.05,0.26,0.25,0.93,434.63,2/15/2020 8:59
10268.15,1701,0.06,0.25,0.25,0.95,425.58,2/15/2020 9:59
10245.12,1608,-0.24,0.23,0.23,0.89,371.21,2/15/2020 10:59
10233.26,1572,0.15,0.24,0.24,0.87,375.88,2/15/2020 11:59
10241.69,1723,0.73,0.26,0.25,0.96,439.58,2/15/2020 12:59
10225.25,2317,0.55,0.3,0.26,1.29,695.84,2/15/2020 13:59
10238.74,2160,0.17,0.21,0.2,1.2,463.09,2/15/2020 14:59
9976.77,2207,0.49,0.19,0.2,1.23,422.6,2/15/2020 15:59
9891.92,2586,-0.49,0.16,0.17,1.44,416.7,2/15/2020 16:59
9842.99,2016,0.54,0.18,0.19,1.12,362.12,2/15/2020 17:59
9910.22,2421,-0.17,0.14,0.14,1.35,343.76,2/15/2020 18:59
9890.58,1988,0.07,0.19,0.2,1.11,370.95,2/15/2020 19:59
9892.01,1674,0.64,0.23,0.23,0.93,378.61,2/15/2020 20:59
9924.41,1637,0.27,0.19,0.18,0.91,313.95,2/15/2020 21:59
9931.01,1481,-0.13,0.19,0.2,0.82,274.86,2/15/2020 22:59
9911.22,1457,0.27,0.2,0.22,0.81,292.54,2/15/2020 23:59
9931.05,1269,0.58,0.2,0.2,0.71,250.66,2/16/2020 0:59
9931.26,1217,0.09,0.21,0.2,0.68,257.05,2/16/2020 1:59
10039.41,1211,-0.15,0.21,0.22,0.67,257.43,2/16/2020 2:59
10007.83,1333,0.5,0.22,0.23,0.74,298.8,2/16/2020 3:59
10025,1290,0.16,0.23,0.23,0.72,293.59,2/16/2020 4:59
9955.13,1237,-0.14,0.21,0.23,0.69,256.08,2/16/2020 5:59
9975.58,1252,0.35,0.21,0.23,0.7,258.45,2/16/2020 6:59
9968.7,1381,-0.09,0.19,0.2,0.77,258.04,2/16/2020 7:59
9993.9,1838,-0.15,0.21,0.23,1.02,384.14,2/16/2020 8:59
9974.54,1735,0.15,0.24,0.23,0.96,421.43,2/16/2020 9:59
9943.86,1771,0.95,0.22,0.23,0.98,385.18,2/16/2020 10:59
9924,1786,0.07,0.23,0.24,0.99,407.21,2/16/2020 11:59
9923.8,1871,0.26,0.26,0.25,1.04,481.97,2/16/2020 13:00
9945.97,2377,-0.63,0.23,0.24,1.32,550.5,2/16/2020 13:59
9904.09,2012,0.59,0.21,0.19,1.12,430.23,2/16/2020 14:59
9872.6,2194,-0.12,0.21,0.2,1.22,450.49,2/16/2020 15:59
9725,2395,0.83,0.19,0.2,1.33,455.7,2/16/2020 16:59
9760.47,2242,0.18,0.2,0.2,1.25,452.47,2/16/2020 17:59
9809.1,2038,0.22,0.21,0.24,1.13,427.58,2/16/2020 18:59
9766.7,1770,0.17,0.19,0.21,0.98,334.64,2/16/2020 19:59
9779.99,1582,0.18,0.2,0.2,0.88,323.16,2/16/2020 20:59
9768.01,1742,-0.21,0.22,0.22,0.97,387.6,2/16/2020 21:59
9874.28,1500,0.5,0.21,0.24,0.83,309.33,2/16/2020 22:59
9927.27,1435,0.12,0.22,0.23,0.8,311.08,2/16/2020 23:59
9869.62,1281,0.18,0.2,0.2,0.71,257.76,2/17/2020 0:59
9866.42,1208,0.43,0.18,0.19,0.67,223.41,2/17/2020 1:59
9848.01,1407,-0.04,0.2,0.21,0.78,282.39,2/17/2020 2:59
9826.45,1347,0.36,0.19,0.2,0.75,252.73,2/17/2020 3:59
9745,1226,0.58,0.22,0.24,0.68,275.32,2/17/2020 4:59
9775.54,1552,-0.09,0.24,0.24,0.86,379.48,2/17/2020 5:59
9783.78,1279,0.18,0.22,0.22,0.71,276.98,2/17/2020 6:59
9760.35,1914,0.45,0.25,0.26,1.06,478.87,2/17/2020 7:59
9813.33,1826,0.2,0.21,0.23,1.01,389.06,2/17/2020 8:59
9804.51,1635,0.18,0.23,0.24,0.91,376.57,2/17/2020 9:59
9736.58,1547,0.15,0.19,0.2,0.86,298.74,2/17/2020 10:59
