BTC_PRICE,COUNT,MEAN,MEDIAN,SUM,CHANGE,PCHANGE,TREND
10219.03,1680,0.17,0.14,287.79,0,0,0
10181.0,1635,0.17,0.15,285.62,-1,-0.37,-1
10215.92,1658,0.2,0.2,331.28,1,0.34,0
10247.34,1417,0.2,0.2,290.43,1,0.31,1
10225.0,1377,0.18,0.18,241.29,-1,-0.22,0
10235.04,1415,0.2,0.2,281.56,1,0.10,1
10265.45,1347,0.19,0.2,253.4,1,0.30,2
10219.66,1401,0.15,0.16,206.03,-1,-0.45,1
10227.74,1178,0.25,0.25,292.57,1,0.08,2
10153.19,2421,0.15,0.02,358.16,-1,-0.73,1
10186.56,1725,0.25,0.24,429.94,1,0.33,2
10107.92,1644,0.25,0.25,411.32,-1,-0.77,1
10144.6,1823,0.24,0.24,443.06,1,0.36,2
10200.0,1868,0.22,0.21,410.58,1,0.55,3
10250.01,1958,0.25,0.24,487.45,1,0.49,4
10256.25,1931,0.23,0.22,450.47,1,0.06,5
10260.86,2511,0.29,0.3,728.81,1,0.04,6
10247.22,2654,0.26,0.23,682.03,-1,-0.13,5
10231.3,2762,0.27,0.23,736.86,-1,-0.16,4
10259.0,2472,0.26,0.23,635.0,1,0.27,5
10291.4,2554,0.26,0.25,657.48,1,0.32,6
10293.09,2361,0.23,0.23,546.39,1,0.02,7
10362.0,2208,0.21,0.2,471.38,1,0.67,8
10363.85,2030,0.22,0.23,449.49,1,0.02,9
10370.32,1860,0.21,0.2,389.55,1,0.06,10
10347.35,2067,0.21,0.24,431.75,-1,-0.22,9
10373.39,1727,0.22,0.24,383.52,1,0.25,10
10371.33,1792,0.18,0.21,328.51,-1,-0.02,9
10353.1,1442,0.21,0.24,302.49,-1,-0.18,8
10263.19,1498,0.23,0.24,338.96,-1,-0.87,7
10245.21,1335,0.23,0.25,303.18,-1,-0.18,6
10281.89,1598,0.25,0.26,396.39,1,0.36,7
10282.17,1526,0.24,0.27,363.33,1,0.00,8
10232.4,1209,0.24,0.25,288.48,-1,-0.48,7
10250.01,1355,0.25,0.25,333.51,1,0.17,8
